recipe_id,recipe_name,cooking_method,cuisine,image,prep_time,serves
11,Ranch Chicken Salad,"['In a medium bowl combine the buttermilk, mayo, chives, salt, garlic powder, onion powder, parsley, basil and black pepper and mix.', 'Add the shredded chicken and mix well. Refrigerate until ready to eat.']",['American'],https://www.skinnytaste.com/wp-content/uploads/2019/04/RANCH-CHICKEN-SALAD-11.jpg,15 minutes,4 servings
12,Avocado Egg Rolls with Sweet and Spicy Dipping Sauce,"['Air Fryer Directions:', 'In a medium bowl, combine avocado, lime juice, sundried tomatoes, onion, cilantro, salt and pepper, to taste. Gently toss to combine.', 'One at a time, place egg roll wrapper on a clean surface, points facing top and bottom like a diamond.', 'Spoon 14 cup mixture onto the bottom third of the wrapper.', 'Dip your finger in a small bowl of water and run it along the edges of the wrapper.', 'Lift the point nearest you and wrap it around the filling. Fold the left and right corners in toward the center and continue to roll into a tight cylinder.', 'Set aside and repeat with remaining wrappers and filling.', 'Spray all sides of the egg rolls with oil.', 'Preheat the air fryer to 400F. In batches, cook 400F for 6 minutes, turning halfway through, or until golden.', 'Meanwhile, in a small bowl, combine mayonnaise, sweet chili sauce and sriracha and serve on the side for dipping.', 'To Bake In The Oven:', 'Preheat the oven to 400F. Spray a sheet pan with oil.', 'Transfer the egg rolls to the baking sheet and cook until browned and crisp, about 16 to 18 minutes, turning halfway.']",['American'],https://www.skinnytaste.com/wp-content/uploads/2019/04/Avocado-Egg-Rolls-with-Sweet-and-Spicy-Dipping-Sauce-11.jpg,15 minutes,10 eggrolls
13,Quickest Cast-Iron Thin Crust Pizza,"['Preheat oven to 425F.', 'Spray the oil in a 10-inch cast-iron skillet and warm over medium-high heat. When hot place one tortilla in the pan. Reduce heat to medium and let cook for 1 minute.', 'Flip the tortilla and cook for an additional minute while you add 2 tablespoons of sauce, spreading it all the way to the tortillas edge.', 'Remove the pan from the heat and add the cheese or any toppings of your choice, reserving fresh herbs to finish.', 'Transfer the pan to the oven and bake for 2 to 4 minutes, or until the edges of the tortilla are golden brown but not burned (if youre not using cheese, check on the early side).', 'Transfer the pan back to the stove and cook for another 1 to 2 minutes over medium heat, until the bottom is browned, but not burned.', 'Transfer the pizza to a plate and let it cool slightly. Top with fresh herbs, if using.', 'Repeat with second pizza and serve.']",['Italian'],https://www.skinnytaste.com/wp-content/uploads/2019/04/Easy-Tortilla-Thin-Crust-Pizza-4.jpg,2 minutes,2 servings
14,Tex-Mex Migas,"['One at a time, place all 6 of the tortillas directly over the flame of the burner over medium heat 20 to 30 seconds per side, until slightly charred.', 'Set 4 aside on a plate with a dish towel over them to keep them warm until ready to serve, cut the remaining 2 in half, then chop into 1/2 inch thick strips.', 'Place the eggs in a medium bowl, season with salt and pepper, and whisk to combine.', 'Heat 1 teaspoon of the oil in a 10-inch nonstick skillet over medium heat.', 'Add the 2 chopped tortillas and cook, stirring until crisp, about 4 minutes. Set aside.', 'Add the remaining oil to the skillet, then add the onion, tomato, jalapeno, cilantro and season with salt and pepper, cook until soft and translucent, about 4 minutes stirring.', 'When the onion is ready add the eggs and cook 3 to 4 minutes until the eggs are almost set, stirring a few times to scramble, then stir in the tortillas.', 'Stir and cook 1 more minute. Remove from heat and top with cheese, fresh salsa, avocado, hot sauce and cilantro for garnish.', 'Serve with warmed tortillas.']",['Mexican'],https://www.skinnytaste.com/wp-content/uploads/2019/04/Tex-Mex-Migas-9.jpg,10 minutes,4 servings
15,Key Lime Yogurt Pie,"['For the graham cracker crust (you can also use a pre-made crust if you prefer):', 'Place graham crackers, butter and sugar into a food processor and pulse a few times.', 'Add 1 tbsp water and pulse a few more times until it has a texture of coarse meal.', 'Press into an 8-inch pie dish making the crust about 1/8-inch thick evenly all around and up the sides.', 'Refrigerate the crust for 30 minutes before you bake it, this will help prevent crumbling when you want to serve it.', 'Preheat oven to 375F. Bake until the edges are golden, about 8 to 10 minutes.', 'Remove from the oven and let the crust cool on a wire rack, before filling.', 'Key Lime Filling:', 'In a small bowl combine 2 tablespoons of the lime juice with the gelatin and stir.', 'Warm the remaining 6 tablespoons of key lime juice for 30 to 45 seconds in the microwave (this is to dissolve the gelatin, dont let it boil) and quickly mix well to dissolve the gelatin.', 'In a large bowl with a hand mixer combine the cream cheese, yogurt, sugar and lime zest. Mix well, then add in the key lime juice and mix well, until fully incorporated, then pour into graham cracker crust.', 'Chill pie thoroughly, at least 1 hour before serving.', 'Garnish with key lime slices and whipped cream, optional, if desired.']",['American'],https://www.skinnytaste.com/wp-content/uploads/2019/04/Key-Lime-Yogurt-Pie-7.jpg,30 minutes,12 servings
16,Chicken Parmesan Lasagna,"['Preheat oven to 425F. Spray a large baking sheet lightly with spray.', 'Combine breadcrumbs and parmesan cheese in a bowl. Beat the egg in another bowl.', 'Dip the chicken into the eggs, then into the breadcrumb mixture. Discard the remaining crumbs.', 'Place the chicken on the prepared baking sheet, lightly spray the top with oil and bake in the oven for 25 minutes, do not turn. When done, remove from the oven and reduce oven temp to 400F.', 'Meanwhile, combine the ricotta, parmesan cheese, and basil in a medium bowl.', 'In a 9 x 13 x 3-inch Pyrex Deep baking dish, ladle 3/4 cup of marinara on the bottom of the dish.', 'Arrange 3 lasagna noodles across the dish (they will expand as they cook), top with 3/4 cup sauce, 4 pieces of chicken, 1/4 of the ricotta cheese mixture, 1/2 cup mozzarella cheese, 3/4 cup spinach.', 'Repeat the 2nd layer, skipping the chicken.', 'Repeat the 3rd layer with the chicken, and the 4th layer without the chicken.', 'For the 5th layer, spread the last 3 sheets of pasta noodles with the remaining 1 1/2 cups of marinara sauce on top.', 'Cover with foil and bake in a 400F preheated oven in the center rack 50 minutes.', 'Uncover, add the remaining cup of mozzarella and bake until melted, 5 minutes.', 'Remove from oven and let it rest 15 minutes before serving.']",['Italian'],https://www.skinnytaste.com/wp-content/uploads/2019/03/Chicken-Parmesan-Lasagna-2-2.jpg,35 minutes,10 servings
17,Chicken and Asparagus Lemon Stir Fry,"['Lightly season the chicken with salt.', 'In a small bowl, combine chicken broth and soy sauce.', 'In a second small bowl combine the cornstarch and water and mix well to combine.', 'Heat a large non-stick wok over medium-high heat, when hot add 1 teaspoon of the oil, then add the asparagus and cook until tender-crisp, about 3 to 4 minutes.', 'Add the garlic and ginger and cook until golden, about 1 minute. Set aside.', 'Increase the heat to high, then add 1 teaspoon of oil and half of the chicken and cook until browned and cooked through, about 4 minutes on each side.', 'Remove and set aside and repeat with the remaining oil and chicken. Set aside.', 'Add the soy sauce mixture; bring to a boil and cook about 1-1/2 minutes.', 'Add lemon juice and cornstarch mixture and stir well, when it simmers return the chicken and asparagus to the wok and mix well, remove from heat and serve.']","['Chinese', 'Japanese']",https://www.skinnytaste.com/wp-content/uploads/2014/03/Chicken-and-Asparagus-Lemon-Stir-Fry-5.jpg,30 minutes,4 servings
18,Turkey Meatloaf,"['Preheat the oven to 350F.', 'In a small bowl combine 2 tbsp of the ketchup with Worcestershire sauce.', 'In a small skillet, heat olive oil and onion on low heat until translucent, 3 to 5 minutes, remove from heat.', 'In a medium bowl combine the turkey, onion, breadcrumbs, egg, 1/4 cup ketchup, salt and marjoram.', 'Place mixture into a loaf pan or shape into a loaf and place on a baking pan. Spoon sauce on top.', 'Bake uncovered for 55-60 minutes, remove from oven and let it sit for 5 minutes before slicing.']",['American'],https://www.skinnytaste.com/wp-content/uploads/2009/02/turkey-meatloaf-8.jpg,5 minutes,4 servings
19,Steamed Mussels with Piri Piri Sauce,"['Combine all the sauce ingredients in a medium bowl and mix well. Sit at room temperature while preparing the mussels.', 'Place mussels in a colander and rinse them under cold water to remove any sand. Scrub them with a stiff brush under cold running water to remove any sand. The shells will be closed until you cook them, discard any cracked shells. To debeard, use your fingers to firmly pull out the hairy filaments.', 'Clean off the outsides with a brush to remove any barnacles or dirt.', 'Place 3/4 cups of water and 3/4 cup of white wine in a large pot and bring to boil. Add the mussels, cover and steam until the mussels all open, 5 to 6 minutes. Carefully drain water and divide in 4 bowls.', 'Top the mussels with the Piri Piri and enjoy!']",['American'],https://www.skinnytaste.com/wp-content/uploads/2018/06/mussels-with-piri-piri-sauce-1-5.jpg,20 minutes,4 servings
20,Chicken Club Lettuce Wrap Sandwich,"['Place the parchment paper down on your work surface.', 'Layer 6 to 7 large leaves of lettuce in the middle of parchment paper so that you create a lettuce base about 9 inches by 10 inches.', 'Spread the mayo in the center of the lettuce wrap.', 'Layer with the chicken or turkey, bacon and tomato.', 'Starting with the end closest to you, roll the lettuce wraps jelly roll style using the parchment as your base as tight as possible.', 'Halfway through rolling, tuck the ends of the wraps towards the middle.', 'Continue to roll the lettuce wrap, keeping it as tight as possible and using the parchment paper to guide you.', 'When it is completely wrapped, roll the remainder of the parchment around the lettuce tightly.', 'Using a serrated knife, cut the lettuce wrap almost completely, leaving a small piece of the parchment intact to help hold it together.']",['American'],https://www.skinnytaste.com/wp-content/uploads/2018/06/Chicken-Club-Lettuce-Wrap-Sandwich-1.jpg,5 minutes,1 serving
21,Houston’s Grilled Chicken Salad,"['Make peanut sauce: Combine all ingredients in a small bowl. Whisk until smooth. Set aside.Make vinaigrette: Combine all ingredients in another small bowl. Whisk until smooth. Set aside.', 'Preheat outdoor grill or grill pan over medium-high heat. Place chicken between a piece of plastic wrap or parchment and pound to an even thickness. Season with salt and pepper. Grill for 5-6 minutes, turn and grill for an additional 5-6 minutes more, or until chicken is cooked through. Allow chicken to rest for 5 minutes, then slice thin.', 'Meanwhile, in a large bowl, combine greens, bell pepper, carrots and jicama. Add peanut sauce, vinaigrette and chicken and gently toss to combine. Divide the salad among 4 bowls and top each with 2 tablespoons tortilla strips. Serve immediately.']",['American'],https://www.skinnytaste.com/wp-content/uploads/2018/06/Houston’s-Grilled-Chicken-Salad-1-2.jpg,20 minutes,4 Servings
22,Zucchini Banana Cake with Cream Cheese Frosting,"['To prepare frosting, beat together cream cheese, powdered sugar and vanilla until smooth. Refrigerate until ready to use.', 'Preheat oven to 350F. Spray bottom of 13x9x2-inch nonstick metal pan with cooking spray.', 'In a large bowl, combine flour, baking soda, salt, and spices; stir well with a whisk.', 'In a medium bowl, combine honey, oil, eggs, and vanilla; stir well. Add zucchini, banana and pineapple; mix well.', 'Fold wet ingredients with the dry ingredients and mix well with a spatula until combined.', 'Spoon batter into the sheet pan.', 'Bake at 350F for about 45 minutes, or until a wooden toothpick inserted in the center comes out clean.', 'Cool completely on a wire rack.', 'Spread frosting over the cake once cooled and cut into 16 pieces.']",['American'],https://www.skinnytaste.com/wp-content/uploads/2018/06/Zucchini-Cake-3.jpg,15 minutes,16 servings
23,Grilled Pesto Chicken Couscous Bowls,"['To make the pesto: In a food processor, pulse basil, spinach and arugula mix, garlic, parmesan cheese, salt and pepper until smooth. Slowly add the olive oil while pulsing.', 'Place couscous in a medium, heat-proof bowl. Add boiling water and 1/4 teaspoon salt. Cover.', 'Let stand for 5 minutes or until liquid has been absorbed. Fluff couscous with a fork to separate grains.', 'Add 2 tablespoons of the pesto. Toss to combine and set aside.', 'Pound the thicker end of the chicken to make both sides leveled out so they cook evenly.', 'Spritz with oil and season with 1/2 teaspoon salt and black pepper.', 'Heat a grill or grill pan on medium-high heat.', 'Spritz the zucchini and tomato all over with olive oil, season with salt and pepper.', 'Cook zucchini, in batches, for 2 to 3 minutes each side or until tender. Transfer to a baking sheet. Cover to keep warm.', 'Add tomato to the grill. Cook, turning, for 1 to 2 minutes or until softened.', 'Cook the chicken 3 to 4 minutes each side or until browned and cooked through. Slice.', 'Divide couscous between 4 plates, 3/4 cup each.', 'Top with vegetables and chicken. Drizzle with remaining pesto. Serve.']",['American'],https://www.skinnytaste.com/wp-content/uploads/2018/06/Grilled-Pesto-Chicken-Couscous-Bowls-1-6.jpg,10 minutes,4 servings
24,How To Make Nut Butter,"['Preheat the oven to 350F. Spread the almonds, walnuts or pecans on a large, rimmed baking sheet and toast the almonds about 10 minutes, mixing halfway. (Dont let them get dark).', 'Let them cool about 10 minutes when they are warm, not hot.', 'Transfer the nuts to a high-speed blender or food processor. Blend until creamy, scraping down the sides as necessary. Be patient, it may seem like it will never turn to butter, but it will! It will go from clumps, to a ball against the side of the food processor (keep scraping the sides), then finally it will turn very creamy. If the mixture gets too hot, stop and let it cool down for a few minutes.', 'Once the nut butter is very creamy, blend in the salt. If you wish to add additional flavors such as vanilla, cinnamon or honey, let the mixture cool, add the optional add ins and blend until creamy once again. Keep in mind, the texture will harden slightly if you add honey or maple syrup.', 'Let the nut butter cool to room temperature, then transfer the mixture to a glass jar and tighten the lid. Store in the refrigerator for up to 3 to 4 weeks, or until you see any signs of spoilage.']",['American'],https://www.skinnytaste.com/wp-content/uploads/2018/06/How-To-Make-Nut-Butter-1-12.jpg,25 minutes,28 Servings
25,Grilled Lobster Tails with Herb Garlic Butter,"['For the butter: Place butter in a mixing bowl and use a rubber spatula to soften until it is very spreadable. Add remaining ingredients, and mix until thoroughly combined.', 'Place compound butter on the center a sheet of a sheet of plastic wrap or parchment paper. Shape into a round log, and twist the ends to seal. Place butter in the refrigerator to harden, at least 30 to 60 minutes. Once solid, it will be easy to slice.', 'For the Lobster: Place each tail, shell side up, on a cutting board. Using a large sharp knife, cut through the shell directly down the center, beginning at the tail and down to where the body use to be.', 'Season the exposed meat with pinch of salt and fresh cracked black pepper, to taste and spritz with olive oil.', 'Preheat grill to medium high, clean and oil the grates. To cook, place each tail half directly on the grate flesh side down and close the hood. Cook about 1 1/2 minutes, then turn 45 degrees (to cross-hatch), close the hood and grill for another 1 1/2 minutes.', 'Remove the tails to a pan and spread each one with 1/2 tablespoon of butter.', 'Return the tails to the grill, flesh side up. Close the hood and allow them to grill for another 3 to 5 minutes depending on the size, until the tail meat is opaque and firm to the touch.', 'Remove the tails, serve with lemon wedges.']",['American'],https://www.skinnytaste.com/wp-content/uploads/2018/06/grilled-lobster-tails-1-10.jpg,20 minutes,4 Servings
26,Low Carb Potato Salad,"['Place 1 inch of water in a large pot with 1 teaspoon salt and bring to a boil. Add the cauliflower and cook until tender, 8 to 10 minutes. Drain and set aside in a large bowl.', 'Meanwhile, in a small bowl, combine the mayonnaise, mustard, dill, pinch of salt and pepper. Set aside.', 'Chop 4 of the eggs and add to the bowl with the cauliflower. Slice the remaining two eggs for topping.', 'Add pickle, celery, 1/4 teaspoon salt, pepper, and red onion. Add the mayo mixture and pickle juice to the cauliflower and toss gently to evenly coat. Garnish with remaining sliced eggs and sprinkle with paprika.']",['American'],https://www.skinnytaste.com/wp-content/uploads/2018/06/Low-Carb-Potato-Salad-1-6.jpg,10 minutes,6 servings
27,Grilled Corn Salad with Feta,"['Set the grill to medium-high. Husk the corn. Grill 10 to 12 minutes, turning often, until charred in spots. Transfer to a cutting board and set aside to cool.', 'Cut the kernels off the cobb.', 'Put the corn, red onion and cheese in a medium salad bowl. Drizzle with the olive oil and toss.', 'Add the fresh herbs and toss again. Taste and add salt and pepper. Serve.']",['American'],https://www.skinnytaste.com/wp-content/uploads/2018/05/Grilled-Corn-and-Feta-Salad-1.jpg,5 minutes,6 Servings
28,Soy Marinated Flank Steak,"['In a medium-size bowl, combine the soy sauce, honey, vegetable oil, sesame oil, garlic, ginger, black pepper, red chili pepper and green onions.', 'Remove 1/4 cup (60 ml) of the marinade and combine with the rice vinegar in a small bowl. Cover and refrigerate.', 'Place the remaining marinade and steak in a 1-gallon (3.6-L) resealable bag. Remove as much air as possible and seal the bag.', 'Refrigerate for at least 1 hour by laying the steak flat, and flipping the bag after 30 minutes. The steak can be marinated in the refrigerator for up to 12 hours.', 'Remove the steak from the marinade, drain any excess liquid and transfer to a pan. Discard the marinating bag.', 'Set the grill to high. Add a small amount of oil on a folded piece of paper towel, carefully greasing the grill with the oil.', 'Allow the grill to preheat for 15 minutes, and once the grill is very hot, add the steak.', 'Cover and cook the steak until well browned, about 4 to 5 minutes, then flip and cook until desired doneness, about 3 to 4 minutes. For medium rare, cook the steak until the internal temperature reaches between 120 and 125F (49 and 52C). For medium, cook between 130 and 135F (54 and 57C).', 'Transfer the steak to a cutting board and allow to rest for 10 minutes.', 'Slice the steak against the grain into 1/4-inch (6-mm) thick slices. Pour the reserved marinade on top and serve hot.']","['Chinese', 'Japanese']",https://www.skinnytaste.com/wp-content/uploads/2018/06/Grilled-Flanks-Steak-1.jpg,10 minutes,6 servings
29,Taco Empanadas,"['For the meat:', 'Brown turkey in a large skillet breaking it into smaller pieces as it cooks.', 'When no longer pink add dry seasoning and mix well.', 'Add the onion, pepper, water and tomato sauce and cover.', 'Simmer on low for about 15 minutes, uncover and simmer until dry, about 8 to 12 minutes. You dont want any liquid remaining, it will make the dough soggy.', 'For the dough:', 'Preheat oven to 375F.', 'Place parchment paper or a silpat on a baking sheet. If using parchment paper, spray with oil to avoid sticking.', 'In a medium bowl combine the flour, baking powder and salt and whisk well.', 'Add the yogurt and mix with a fork or spatula until well combined, it will look like small crumbles.', 'Lightly dust flour on a work surface and remove dough from the bowl, knead the dough a few times until dough is tacky, but not sticky, about 15 turns (it should not leave dough on your hand when you pull away).', 'Place on a floured work surface and roll the dough out until its very thin. Cut circles about 4-3/4 inches (I used a small work bowl turned upside down) cut out as many rounds as you can.', 'With the remaining dough, roll out and form into more rounds. I got 10 altogether.', 'Place 2 tablespoons of the meat mixture on each round topped with 1/2 tablespoon cheese.', 'Brush the edges with egg wash then fold the edge over and crimp with a fork.', 'Transfer to the baking sheet and brush the tops with egg wash.', 'Bake in the center of the oven for 22 minutes, or until golden']",['Mexican'],https://www.skinnytaste.com/wp-content/uploads/2018/06/potato-broccoli-patties-1-12.jpg,20 minutes,10 servings
30,Shrimp Scampi Foil Packets,"['Whisk the grated garlic, salt, oil in a medium bowl. Add shrimp, toss to coat, and chill, uncovered, at least 30 minutes and up to 1 hour.', 'Make foil packets. Tear off 4 16 sheets of Reynolds Wrap Heavy-Duty Aluminum Foil.', 'Place 10 shrimp on the center of each foil sheet. Top each with remaining garlic slices, 1 tablespoon wine, lemon juice, pinch red pepper flakes and 1/2 tablespoon melted butter over each.', 'Bring up the long sides of the foil, so the ends meet over the food. Double fold the ends, leaving room for heat to circulate inside. Double fold the two short ends to seal the packet', 'Grill over high heat, 8 minutes. Use gloves or tongs to remove and carefully open. Top with chopped parsley. Serve with lemon wedges.', '(To bake in the oven, preheat oven to 425F and cook about 10 minutes.)']",['Italian'],https://www.skinnytaste.com/wp-content/uploads/2018/05/shrimp-scampi-foil-packets-1-5.jpg,10 minutes,4 Servings
31,Potato and Broccoli Cakes,"['In a medium skillet over medium heat, add the oil, leeks, onions and garlic and cook 4 minutes, until soft.', 'Meanwhile, chop the potato into 1/8th inch dice. The best way to do this is slice them into 1/8th inch strips, then cut the strips into small cubes.', 'Add the potatoes, salt and 2 tablespoons of water, cover and cook medium-low heat until soft, about 10 minutes.', 'Add the broccoli, 2 more tablespoons of water and cook covered 15 minutes, stirring occasionally, until tender.', 'Let cool 10 minutes.', 'Add the cheese and roll into 4 balls, about 1/2 cup (3 1/2 ounces) each. Flatten to form cakes.', 'To cook, heat a large skillet over medium heat, cook 4 to 5 minutes until the bottom is golden, gently flip and cook and additional 4 to 5 minutes. You can freeze whatever you dont eat. To reheat from frozen, bake in 390F preheated oven 25 minutes.']",['American'],https://www.skinnytaste.com/wp-content/uploads/2018/05/potato-broccoli-patties-1.jpg,10 minutes,4 servings
32,BBQ Chicken Quesadilla,"['Bring a skillet sprayed with nonstick spray to medium-high heat. Sprinkle chicken with seasonings, and cook for about 4 minutes per side, until cooked through.', 'Once cool enough to handle, roughly chop. In a small bowl, coat chicken with BBQ sauce.', 'Lay tortilla flat, and spread BBQ chicken onto one half. Top chicken with remaining ingredients.', 'Clean skillet, if needed. Respray and return to medium-high heat. Cook the half-loaded tortilla for 2 minutes.', 'Fold the bare tortilla half over the filling with a spatula, and press lightly to seal. Carefully flip and cook until crispy, about 3 minutes.', 'Slice into wedges.']",['American'],https://www.skinnytaste.com/wp-content/uploads/2019/04/BBQ-Quesadilla-1-2.jpg,5 minutes,1 serving
33,Chicken Salad with Lemon and Dill,"['Remove the chicken legs, wings and thighs from the rotisserie chicken and set aside for another meal.', 'Remove the skin from the 2 breasts and remove the meat from the bones. Break the chicken into chunks with your hands or a knife and place into a large bowl. Add the fresh dill, lemon juice, lemon zest, olive oil and salt.', 'Refrigerate until ready to eat.']",['American'],https://www.skinnytaste.com/wp-content/uploads/2018/05/chicken-salad-with-dill-1-5.jpg,5 minutes,3 servings
